number_of__talk__download_languages,comment_count,number_of__subtitled_videos,number_of__talk__more_resources,work_tag,number_of__talk__recommendations,growth_tag,personal_tag,success_tag,author_occupation,leadership_tag,psychology_tag,business_tag,brain_tag,psychologist_occupation,happiness_tag,number_of__talks__take_actions,age_months,ted salon talk  partner _video,duration,self_tag,ted institute talk_video,communication_tag,subjectivity,ted stage talk_video,ted  original_video,engineer_occupation,researcher_occupation,artist_occupation,teaching_tag,writer_occupation,technology_tag,best web_video,tedx talk_video,body_tag,philosopher_occupation,comedian_occupation,original content_video,comedy_tag,entrepreneur_tag
42,1336.0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,830,0,0,0,0.3420097632863589,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,1120.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,259,0,0,0,0.4325834500466853,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,905.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,346,0,0,0,0.5189710962438234,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,690.0,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,143,0,1189,0,0,0,0.4627920035938905,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1574.0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,1346,0,0,1,0.4470789326280656,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,348.0,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37,0,2450,0,0,0,0.5452873074707839,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
32,279.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,214,0,0,0,0.3977824463118581,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,211.0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,431,0,0,0,0.3908163265306123,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
36,538.0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,1150,0,0,0,0.493461215655093,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,960.0,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,735,0,0,0,0.4533397591991341,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,154.0,38,1,0,1,0,0,0,0,0,0,0,1,0,0,0,55,0,740,0,0,0,0.468095238095238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,263.0,39,3,1,1,1,1,1,0,1,0,1,0,1,0,1,50,0,925,0,0,0,0.5321728271728273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,585.0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,327,0,0,0,0.4945932539682539,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,975.0,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,882,0,0,0,0.485750867422216,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,459.0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,1291,0,0,0,0.5126468622917485,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,218.0,40,4,0,1,1,1,0,0,0,0,0,1,0,0,1,52,0,564,0,0,0,0.4931845238095238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,645.0,70,0,1,0,0,0,1,0,0,1,1,0,0,1,0,162,0,210,0,0,0,0.4596031746031746,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,675.0,41,2,0,1,0,0,0,0,0,0,0,0,0,0,0,111,0,1105,0,0,0,0.4992152240039565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,630.0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,1190,0,0,0,0.4505990147005772,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1066.0,44,1,0,0,1,1,0,0,0,1,1,0,0,1,0,164,0,1177,0,0,0,0.5227805627705627,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,231.0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,86,0,628,0,0,0,0.4212121212121212,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,346.0,28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,74,0,1140,0,0,0,0.4077157527657527,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39,777.0,39,1,0,0,0,0,0,0,0,1,0,1,0,0,0,99,0,1238,1,0,0,0.5239988785369221,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
